StoreID,FranchiseOwner,Region,FiscalWeekKey,FiscalYear,FiscalQuarter,FiscalMonth,WeekOfYear,WeeklyAUV,SSS_Pct,SST_Pct,EBITDA_Pct,AvgTicket,OLO_Pct,ThreePD_Pct,Loyalty_Pct,WeeklyTransactions,AUVTrend_Pct,OpEx_Score,OSAT_Pct,Accuracy_Pct,FBC_Name,RegionalVP,SSS_Dollar,CompTicketCount_PY,CompTicketCount_Change
8001,Adelphi Holdings,Northeast,01-01-2024,2024,Q1,1,1,35883.71,2.7,2,16.9,16.64,32.3,14.3,21.9,2156,1.9,76,72.9,88.1,Rachel Kim,Patricia Holt,968.86,2048,47
8001,Adelphi Holdings,Northeast,08-01-2024,2024,Q1,1,2,35354.73,2.8,1.5,17.4,17.31,30.6,13.1,25.1,2042,0.7,74,73.4,88.6,Rachel Kim,Patricia Holt,989.93,1998,31
8001,Adelphi Holdings,Northeast,15-01-2024,2024,Q1,1,3,35090.79,2.2,1.3,17.4,16.63,29,14.7,22,2110,0.7,74,75.5,88.4,Rachel Kim,Patricia Holt,772,1967,25
8001,Adelphi Holdings,Northeast,22-01-2024,2024,Q1,1,4,36308.83,2.2,1.6,17,17.27,31.4,12.8,23.7,2102,-0.3,77,74.2,89.1,Rachel Kim,Patricia Holt,798.79,1943,36
8001,Adelphi Holdings,Northeast,29-01-2024,2024,Q1,1,5,35289.39,2.2,1.7,16.9,17.17,29.5,15,23.2,2055,2.6,76,74.2,88,Rachel Kim,Patricia Holt,776.37,1989,36
8001,Adelphi Holdings,Northeast,05-02-2024,2024,Q1,2,6,35368.58,2.2,1.6,18.1,16.58,29.2,13.8,24.2,2133,2.4,75,73.5,87.2,Rachel Kim,Patricia Holt,778.11,1965,37
8001,Adelphi Holdings,Northeast,12-02-2024,2024,Q1,2,7,36793.2,2.7,1.6,17.8,16.6,30.2,13.7,21.7,2216,1.9,74,75.4,87.6,Rachel Kim,Patricia Holt,993.42,2186,33
8001,Adelphi Holdings,Northeast,19-02-2024,2024,Q1,2,8,34787.52,2.9,1.8,17.5,16.58,29.4,13.8,22.1,2098,2.5,77,73.4,88.8,Rachel Kim,Patricia Holt,1008.84,1960,35
8001,Adelphi Holdings,Northeast,26-02-2024,2024,Q1,2,9,35165.93,2.5,1.2,17.3,17.21,30.9,13.4,21.9,2043,2.9,73,73,87.8,Rachel Kim,Patricia Holt,879.15,1929,24
8001,Adelphi Holdings,Northeast,04-03-2024,2024,Q1,3,10,37309.36,2.6,2,16.9,16.81,29.9,14.8,22.1,2219,-0.9,73,73.6,87.8,Rachel Kim,Patricia Holt,970.04,2118,42
8001,Adelphi Holdings,Northeast,11-03-2024,2024,Q1,3,11,37324.68,2,1.3,17.1,17.12,32.1,13.3,22.5,2180,3.8,76,72.2,88.3,Rachel Kim,Patricia Holt,746.49,2112,26
8001,Adelphi Holdings,Northeast,18-03-2024,2024,Q1,3,12,38467.53,2.3,1.6,16.8,16.97,30.2,14.4,23.5,2267,-2.9,75,75.4,88.5,Rachel Kim,Patricia Holt,884.75,2138,35
8001,Adelphi Holdings,Northeast,25-03-2024,2024,Q1,3,13,37451.5,3,1.2,17,16.77,30.4,12.7,25.1,2233,-1.9,76,74.4,89.2,Rachel Kim,Patricia Holt,1123.54,2135,28
8001,Adelphi Holdings,Northeast,01-04-2024,2024,Q2,4,14,37601.86,3.1,1.3,17.2,16.95,31.5,13.6,22.6,2218,1.8,75,75.2,87.7,Rachel Kim,Patricia Holt,1165.66,2075,28
